timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2023-03-12 16:00:00,20347.80,20878.00,20332.50,20774.80,107288.079,2023-03-12 17:59:59,2213842949.69343,547615,58846.855,1214322736.10243,0
2023-03-12 18:00:00,20774.90,21350.00,20680.50,20770.50,213135.318,2023-03-12 19:59:59,4472553056.75454,1200712,110935.207,2328310686.05944,0
2023-03-12 20:00:00,20770.60,21350.00,20750.80,21262.80,111697.610,2023-03-12 21:59:59,2358644904.90617,722094,60486.720,1277058508.79047,0
2023-03-12 22:00:00,21262.90,22184.00,21088.20,21986.20,215647.197,2023-03-12 23:59:59,4680211014.11075,1303461,115236.935,2501025765.38565,0
2023-03-13 00:00:00,21986.20,22598.00,21856.00,22280.90,157508.524,2023-03-13 01:59:59,3505380501.93981,1027482,82365.666,1833182684.01741,0
2023-03-13 02:00:00,22280.80,22350.00,22061.10,22221.70,62619.276,2023-03-13 03:59:59,1390427437.52086,468949,31406.452,697435490.40640,0
2023-03-13 04:00:00,22221.80,22448.00,22213.80,22387.40,48744.844,2023-03-13 05:59:59,1088963547.84033,361865,24809.206,554286846.84523,0
2023-03-13 06:00:00,22387.40,22500.00,22240.00,22451.60,58806.047,2023-03-13 07:59:59,1316182496.69628,418741,30440.470,681402946.25818,0
2023-03-13 08:00:00,22451.50,22542.00,21804.00,21956.00,124740.339,2023-03-13 09:59:59,2762255269.68739,805926,61996.824,1372979767.58160,0
2023-03-13 10:00:00,21956.10,22230.00,21805.20,22092.60,88025.094,2023-03-13 11:59:59,1939154070.36360,619513,45162.449,995216980.10240,0
2023-03-13 12:00:00,22092.60,22588.00,21945.00,22467.20,197008.821,2023-03-13 13:59:59,4397853261.27611,1178116,102612.380,2291154847.26861,0
2023-03-13 14:00:00,22467.20,24517.20,22390.10,24009.00,480344.320,2023-03-13 15:59:59,11352777615.68490,2754534,254337.235,6006934078.01637,0
2023-03-13 16:00:00,24009.00,24233.70,23777.00,24135.70,136776.548,2023-03-13 17:59:59,3284306918.83608,1014538,69278.114,1663861352.76210,0
2023-03-13 18:00:00,24135.80,24437.90,24004.50,24314.60,91774.918,2023-03-13 19:59:59,2223953355.81556,740557,46532.298,1127838133.96306,0
2023-03-13 20:00:00,24314.60,24350.00,24055.50,24096.60,43900.965,2023-03-13 21:59:59,1061584168.16670,422816,21314.097,515418954.99260,0
2023-03-13 22:00:00,24096.60,24249.80,23935.70,24119.50,44732.480,2023-03-13 23:59:59,1078009654.13383,397236,22452.560,541133346.24270,0
2023-03-14 00:00:00,24119.50,24450.00,23990.00,24407.30,60487.439,2023-03-14 01:59:59,1464109750.19709,544649,31832.499,770670216.69379,0
2023-03-14 02:00:00,24407.20,24507.00,24220.00,24379.90,43321.751,2023-03-14 03:59:59,1055006931.15900,366979,21450.941,522430008.00420,0
2023-03-14 04:00:00,24379.90,24850.00,24230.00,24324.10,103548.084,2023-03-14 05:59:59,2535159478.72885,702999,53288.417,1305099295.45336,0
2023-03-14 06:00:00,24324.10,24444.00,24148.00,24251.90,51335.541,2023-03-14 07:59:59,1247790595.84287,437381,25400.929,617477320.99350,0
2023-03-14 08:00:00,24252.30,24295.20,24121.70,24280.80,39934.502,2023-03-14 09:59:59,967334423.04780,382652,20179.248,488839760.78720,0
2023-03-14 10:00:00,24280.70,24844.40,24247.70,24747.30,116575.874,2023-03-14 11:59:59,2866805996.18034,877172,59483.886,1462717634.49234,0
2023-03-14 12:00:00,24747.40,26489.90,24405.00,25794.30,459136.771,2023-03-14 13:59:59,11757906122.08795,2923556,235705.046,6037018227.44927,0
2023-03-14 14:00:00,25794.30,26128.90,25667.50,25911.30,113545.466,2023-03-14 15:59:59,2939867374.68184,956318,57161.747,1480163640.40366,0
2023-03-14 16:00:00,25911.30,26025.70,25617.10,25651.30,86766.058,2023-03-14 17:59:59,2239691210.35507,771383,41975.657,1083644961.51950,0
2023-03-14 18:00:00,25651.30,25674.50,24222.00,25065.50,257835.139,2023-03-14 19:59:59,6432942457.67508,1619573,124445.268,3104331555.43314,0
2023-03-14 20:00:00,25066.40,25184.00,23951.00,24544.80,178668.813,2023-03-14 21:59:59,4390642293.71290,1182743,84747.871,2082922934.56313,0
2023-03-14 22:00:00,24544.90,24810.60,24393.60,24682.50,61407.197,2023-03-14 23:59:59,1513977556.81132,533941,31627.059,779868421.05312,0
2023-03-15 00:00:00,24682.50,25088.00,24318.00,24919.60,97022.662,2023-03-15 01:59:59,2400224294.70899,730019,49577.501,1226757272.27609,0
2023-03-15 02:00:00,24919.70,24987.20,24667.50,24741.60,29750.346,2023-03-15 03:59:59,738169888.62150,298227,14084.072,349463301.69980,0
2023-03-15 04:00:00,24741.60,24890.10,24684.00,24715.70,28312.227,2023-03-15 05:59:59,701693252.57070,284499,13705.433,339723794.30970,0
2023-03-15 06:00:00,24715.60,24940.00,24609.40,24892.00,38466.952,2023-03-15 07:59:59,953171460.48450,359804,19849.984,491956035.64470,0
2023-03-15 08:00:00,24892.00,24937.70,24451.70,24528.40,55548.089,2023-03-15 09:59:59,1372060478.11983,470012,26094.730,644677092.03780,0
2023-03-15 10:00:00,24528.50,24850.00,24266.00,24782.60,118143.720,2023-03-15 11:59:59,2898548825.33250,907374,60121.822,1475498682.05481,0
2023-03-15 12:00:00,24782.60,25200.00,24413.20,24800.00,225584.209,2023-03-15 13:59:59,5607987040.91423,1484010,112896.772,2807243055.63959,0
2023-03-15 14:00:00,24799.90,24975.40,24364.70,24480.10,151367.448,2023-03-15 15:59:59,3732389205.03504,1055650,75565.632,1863613306.14340,0
2023-03-15 16:00:00,24480.00,24534.40,23888.00,24290.30,185753.267,2023-03-15 17:59:59,4500373038.65700,1220831,92227.521,2234967794.01730,0
2023-03-15 18:00:00,24290.30,24533.70,24150.50,24379.80,93523.475,2023-03-15 19:59:59,2275977348.95439,719096,47509.692,1156211817.80029,0
2023-03-15 20:00:00,24379.80,24450.00,24240.30,24426.90,30146.590,2023-03-15 21:59:59,734137418.73740,322195,14628.368,356241263.70610,0
2023-03-15 22:00:00,24427.00,24645.40,24222.60,24288.00,48437.444,2023-03-15 23:59:59,1182823941.69745,451227,23806.750,581398692.62315,0
2023-03-16 00:00:00,24287.90,24383.90,24120.50,24328.40,44968.245,2023-03-16 01:59:59,1090688042.20437,443227,22684.269,550253967.33730,0
2023-03-16 02:00:00,24328.40,24440.00,24233.70,24271.90,23584.924,2023-03-16 03:59:59,574045160.35060,266176,11260.608,274088744.46020,0
